                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.52398,                0.29891,                0.62834,                0.94393,                0.87876,                0.88256,                 0.9215,                0.63362,                0.87876,                0.88256,                 0.9215,                0.61527,                0.94777,                0.80845,                 1.3666,                 1.2281,             0.00033023,             0.00033023,             0.00033023
                     84,                0.64496,                0.50373,                 1.0604,                0.94996,                0.91937,                0.84817,                0.92871,                0.66967,                0.91937,                0.84817,                0.92871,                0.63171,                 0.8691,                0.76696,                 1.3551,                 1.1729,             0.00031373,             0.00031373,             0.00031373
                     85,                 0.5778,                0.58762,                0.97331,                 0.9915,                0.91937,                0.84817,                0.92871,                0.66967,                0.91937,                0.84817,                0.92871,                0.63171,                 0.8691,                0.76696,                 1.3551,                 1.1729,             0.00029723,             0.00029723,             0.00029723
                     86,                0.50218,                0.28572,                0.65817,                0.90862,                0.87842,                0.88106,                0.92908,                0.67138,                0.87842,                0.88106,                0.92908,                0.64901,                0.82532,                0.75467,                 1.3718,                 1.1321,             0.00028072,             0.00028072,             0.00028072
                     87,                0.52254,                0.29136,                0.65693,                0.93061,                0.88153,                0.87036,                0.91773,                0.67233,                0.92787,                0.84052,                0.92721,                0.63839,                0.82488,                0.75709,                  1.417,                 1.1183,             0.00026422,             0.00026422,             0.00026422
                     88,                0.48166,                0.38894,                0.87139,                0.96721,                0.82483,                0.92114,                0.90803,                0.65456,                0.87974,                0.86876,                0.92088,                0.63804,                0.85613,                0.74795,                 1.4443,                 1.1321,             0.00024772,             0.00024772,             0.00024772
                     89,                0.61634,                0.36159,                0.81327,                 1.0255,                0.82483,                0.92114,                0.90803,                0.65456,                0.87974,                0.86876,                0.92088,                0.63804,                0.85613,                0.74795,                 1.4443,                 1.1321,             0.00023121,             0.00023121,             0.00023121
                     90,                0.69983,                0.41016,                 1.3752,                  1.079,                0.81432,                0.92195,                0.87741,                0.62831,                0.81432,                0.92195,                0.87741,                0.59734,                0.87524,                0.74757,                 1.4662,                 1.1374,             0.00021471,             0.00021471,             0.00021471
                     91,                0.52558,                0.70841,                 1.3192,                0.92237,                 0.8343,                0.83996,                 0.8598,                0.62766,                 0.8343,                0.83996,                 0.8598,                0.60428,                0.87584,                0.73669,                 1.4594,                 1.1366,             0.00019821,             0.00019821,             0.00019821
                     92,                0.56612,                0.45247,                 1.1868,                 0.8816,                0.83363,                0.84334,                0.83266,                0.60497,                0.83363,                0.84334,                0.83266,                0.59256,                0.86445,                0.74273,                 1.4569,                   1.13,              0.0001817,              0.0001817,              0.0001817
                     93,                0.41359,                0.90938,                 1.2106,                0.93592,                0.83363,                0.84334,                0.83266,                0.60497,                0.83363,                0.84334,                0.83266,                0.59256,                0.86445,                0.74273,                 1.4569,                   1.13,              0.0001652,              0.0001652,              0.0001652
                     94,                0.41724,                0.28826,                  1.122,                0.95325,                0.88343,                0.84039,                0.84127,                 0.6036,                0.88343,                0.84039,                0.84127,                0.59266,                0.84933,                0.73571,                  1.463,                 1.1358,              0.0001487,              0.0001487,              0.0001487
                     95,                0.62957,                0.48791,                 1.2866,                0.90093,                0.89147,                0.84445,                0.84134,                0.60899,                0.92762,                0.88604,                0.86739,                 0.5859,                 0.8347,                0.73159,                 1.4756,                 1.1289,             0.00013219,             0.00013219,             0.00013219
                     96,                0.45509,                0.30977,                 1.1084,                0.98414,                0.88834,                0.84091,                0.85052,                0.61588,                0.92822,                0.90346,                0.88251,                0.61102,                0.82871,                0.73346,                 1.4941,                 1.1188,             0.00011569,             0.00011569,             0.00011569
                     97,                0.36468,                0.29153,                0.79341,                0.85956,                0.88834,                0.84091,                0.85052,                0.61588,                0.92822,                0.90346,                0.88251,                0.61102,                0.82871,                0.73346,                 1.4941,                 1.1188,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.38714,                0.31624,                0.88304,                0.93987,                0.82814,                 0.7892,                0.79413,                0.62742,                0.89429,                0.86893,                0.87387,                0.63466,                0.81219,                0.73367,                 1.4938,                 1.1087,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.57892,                0.51389,                  1.276,                 0.9464,                0.90079,                0.84385,                0.86006,                0.63089,                0.89437,                0.88529,                0.87839,                0.60928,                0.79437,                0.73228,                 1.4984,                 1.0914,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.42204,                0.25578,                 0.9446,                0.83001,                0.90103,                0.84389,                0.86909,                0.62484,                0.89347,                0.88117,                0.88409,                0.60046,                0.80123,                 0.7495,                 1.5292,                    1.1,             4.9677e-05,             4.9677e-05,             4.9677e-05
